Indicator,SpatialDimValueCode,Location,Period,Value,DateModified
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2022,5404.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2022,561.69,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2022,579.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2022,5796.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2022,5851.96,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2022,5943.36,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2022,6182.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2022,6448.02,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2022,6456.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2022,667.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2022,674.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2022,6851.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2022,7022.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2022,7655.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2022,78.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2022,85.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2022,8692.58,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2022,902.27,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2022,903.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2021,1024.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2021,1047.46,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2021,11262.23,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2021,1183.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2021,1381.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2021,1384.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2021,156.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2021,1684.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2021,1846.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2021,1854.28,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2021,1897.95,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2021,2091.16,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2021,250.99,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2021,2538.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2021,2760.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2021,2779.57,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2021,3118.24,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2021,3144.11,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2021,3399.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2021,3535.99,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2021,3641.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2021,369.9,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2021,391.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2021,4033.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2021,410.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2021,413.72,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2021,4190.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2021,431.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2021,465.57,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2021,471.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2021,484.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2021,5261.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2021,5376.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2021,5612.05,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2021,5743.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2021,595.84,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2021,636.65,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2021,6520.49,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2021,6554.97,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2021,6638.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2021,6722.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2021,6764.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2021,6842.46,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2021,697.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2021,72.59,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2021,7465.77,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2021,75.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2021,7632.57,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2021,8222.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2021,881.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2021,9163.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2021,919.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2021,963.01,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2020,1025.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2020,10348.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2020,1094.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2020,1172.84,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2020,120.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2020,1313.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2020,1393.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2020,1520.39,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2020,1674.78,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2020,1789.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2020,2106.28,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2020,2346.33,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2020,2417.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2020,245.22,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2020,2483.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2020,265.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2020,2898.01,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2020,306.65,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2020,3062.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2020,3135.41,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2020,3282.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2020,329.57,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2020,351.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2020,3616.5,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2020,3758.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2020,386.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2020,396.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2020,420.01,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2020,420.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2020,4736.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2020,4747.51,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2020,4816.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2020,510.81,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2020,5144.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2020,535.27,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2020,5531.02,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2020,5692.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2020,5865.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2020,5932.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2020,594.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2020,6003.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2020,6098.27,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2020,61.41,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2020,6530.48,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2020,670.19,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2020,6785.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2020,74.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2020,7579.64,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2020,7824.58,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2020,809.59,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2020,814.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2020,856.7,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2020,896.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2019,1014.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2019,1040.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2019,1054.28,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2019,1183.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2019,1342.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2019,1369.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2019,1569.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2019,1599.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2019,1805.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2019,199.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2019,2093.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2019,2219.1,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2019,2221.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2019,242.81,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2019,263.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2019,2713.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2019,284.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2019,2910.65,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2019,2943.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2019,3021.43,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2019,306.46,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2019,3335.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2019,366.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2019,3801.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2019,388.67,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2019,400.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2019,4258.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2019,432.78,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2019,4459.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2019,4508.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2019,469.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2019,5033.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2019,5263.39,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2019,533.7,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2019,5340.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2019,546.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2019,5462.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2019,5488.54,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2019,5652.99,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2019,5912.01,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2019,60.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2019,6058.83,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2019,61.4,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2019,6221.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2019,641.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2019,650.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2019,697.9,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2019,738.56,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2019,7512.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2019,754.77,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2019,8007.36,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2019,9646.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2019,98.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2018,1024.62,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2018,1080.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2018,1101.49,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2018,1249.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2018,1299.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2018,1553.43,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2018,1603.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2018,1750.81,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2018,180.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2018,2020.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2018,2169.58,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2018,217.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2018,2216.31,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2018,266.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2018,2741.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2018,2753.51,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2018,276.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2018,3002.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2018,3158.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2018,3199.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2018,329.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2018,349.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2018,349.99,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2018,380.28,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2018,3969.36,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2018,411.33,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2018,4219.49,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2018,426.57,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2018,428.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2018,4521.28,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2018,4667.96,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2018,5176.85,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2018,5187.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2018,529.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2018,5330.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2018,5337.22,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2018,5507.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2018,58.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2018,6005.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2018,606.11,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2018,617.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2018,6227.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2018,6232.72,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2018,6280.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2018,65.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2018,687.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2018,689.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2018,745.75,2024-12-10T00:00:00.000Z
