variable code,variable name
dis11_ext_ext,External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of External Health Expenditure (EXT)
dis12_ext_ext,External sources of funding on Tuberculosis (TB) as % of External Health Expenditure (EXT)
dis13_ext_ext,External sources of funding on Malaria as % of External Health Expenditure (EXT)
dis16_ext_ext,External sources of funding on Neglected Tropical Diseases (NTDs) as % of External Health Expenditure (EXT)
dis2_ext_ext,External sources of funding on Reproductive Health as % of External Health Expenditure (EXT)
dis21_ext_ext,External sources of funding on Maternal Conditions as % of External Health Expenditure (EXT)
dis22_ext_ext,External sources of funding on Perinatal Conditions as % of External Health Expenditure (EXT)
dis23_ext_ext,External sources of funding on Contraceptive Management (Family Planning) as % of External Health Expenditure (EXT)
dis3_ext_ext,External sources of funding on Nutritional Deficiencies as % of External Health Expenditure (EXT)
dis4_ext_ext,External sources of funding on Noncommunicable Diseases (NCDs) as % of External Health Expenditure (EXT)
dis5_ext_ext,External sources of funding on Injuries as % of External Health Expenditure (EXT)
disnec_ext_ext,External sources of funding on other and unspecified diseases/conditions (n.e.c.) as % of External Health Expenditure (EXT)
hccov_che,Expenditure on COVID as % Current Health Expenditure (CHE)
hccov_usd_pc,Expenditure on COVID-19 per Capita in US$
hccov_gghed_gghed,Domestic General Government Expenditure on COVID-19 as % of Domestic General Government Expenditure on Health (GGHE-D)
hccov_ext_ext,External sources of funding on COVID-19 as % of External Health Expenditure (EXT)
gge_gdp,General Government Expenditure (GGE) as % Gross Domestic Product (GDP)
gdp_pc_usd,Gross Domestic Product (GDP) per Capita in US$
fs,"Current health expenditure by revenues of health care financing schemes, in million current NCU"
fs1,"Transfers from government domestic revenue (allocated to health purposes), in million current NCU"
fs11,"Internal transfers and grants, in million current NCU"
fs12,"Transfers by government on behalf of specific groups, in million current NCU"
fs13,"Subsidies, in million current NCU"
fs14,"Other transfers from government domestic revenue, in million current NCU"
fs2,"Transfers distributed by government from foreign origin, in million current NCU"
fs3,"Social insurance contributions, in million current NCU"
fs31,"Social insurance contributions from employees, in million current NCU"
fs32,"Social insurance contributions from employers, in million current NCU"
fs33,"Social insurance contributions from self-employed, in million current NCU"
fs34,"Other social insurance contributions, in million current NCU"
fs4,"Compulsory prepayment (Other, and unspecified, than FS.3), in million current NCU"
fs5,"Voluntary prepayment, in million current NCU"
fs6,"Other domestic revenues n.e.c., in million current NCU"
fs61,"Other revenues from households n.e.c., in million current NCU"
fs62,"Other revenues from corporations n.e.c., in million current NCU"
fs63,"Other revenues from NPISH n.e.c., in million current NCU"
fs6nec,"Unspecified other domestic revenues (n.e.c.), in million current NCU"
fs7,"Direct foreign transfers, in million current NCU"
fsnec,"Unspecified revenues of health care financing schemes (n.e.c.), in million current NCU"
hf,"Current health expenditure by financing schemes, in million current NCU"
hf1,"Government schemes and compulsory contributory health care financing schemes, in million current NCU"
hf11,"Government schemes, in million current NCU"
hf12,"Compulsory contributory health insurance schemes, in million current NCU"
hf121,"Social health insurance schemes, in million current NCU"
hf122,"Compulsory private insurance schemes, in million current NCU"
hf12nec,"Unspecified compulsory contributory health insurance schemes (n.e.c.), in million current NCU"
hf13,"Compulsory Medical Saving Accounts (CMSA), in million current NCU"
hf1nec,"Unspecified government schemes and compulsory contributory schemes (n.e.c.), in million current NCU"
hf2,"Voluntary health care payment schemes, in million current NCU"
hf21,"Voluntary health insurance schemes, in million current NCU"
hf22,"NPISH financing schemes (including development agencies), in million current NCU"
hf23,"Enterprise financing schemes, in million current NCU"
hf2nec,"Unspecified voluntary health care payment schemes (n.e.c.), in million current NCU"
hf3,"Household out-of-pocket payments (OOPS), in million current NCU"
hf4,"Rest of the world financing schemes (non-resident), in million current NCU"
hfnec,"Unspecified financing schemes (n.e.c.), in million current NCU"
hc,"Current health expenditure by Health Care Functions, in million current NCU"
hc1,"Curative care, in million current NCU"
hc11,"Inpatient curative care, in million current NCU"
hc12,"Day curative care, in million current NCU"
hc13,"Outpatient curative care, in million current NCU"
hc131,"General outpatient curative care, in million current NCU"
hc132,"Dental outpatient curative care, in million current NCU"
hc133,"Specialised outpatient curative care, in million current NCU"
hc139,"Other outpatient curative care (specialized paramedical outpatient curative care), in million current NCU"
hc13nec,"Unspecified outpatient curative care (n.e.c.), in million current NCU"
hc14,"Home-based curative care, in million current NCU"
hc1nec,"Unspecified curative care (n.e.c.), in million current NCU"
hc2,"Rehabilitative care, in million current NCU"
hc21,"Inpatient rehabilitative care, in million current NCU"
hc22,"Day rehabilitative care, in million current NCU"
hc23,"Outpatient rehabilitative care, in million current NCU"
hc24,"Home-based rehabilitative care, in million current NCU"
hc2nec,"Unspecified rehabilitative care (n.e.c.), in million current NCU"
hc3,"Long-term care (health), in million current NCU"
hc31,"Inpatient long-term care (health), in million current NCU"
hc32,"Day long-term care (health), in million current NCU"
hc33,"Outpatient long-term care (health), in million current NCU"
hc34,"Home-based long-term care (health), in million current NCU"
hc3nec,"Unspecified long-term care (n.e.c.), in million current NCU"
hc4,"Ancillary services (non-specified by function), in million current NCU"
hc41,"Laboratory services, in million current NCU"
hc42,"Imaging services, in million current NCU"
hc43,"Patient transportation, in million current NCU"
hc4nec,"Unspecified ancillary services (n.e.c.), in million current NCU"
hc5,"Medical goods (non-specified by function), in million current NCU"
hc51,"Pharmaceuticals and Other medical durable goods, in million current NCU"
hc511,"Prescribed medicines, in million current NCU"
hc512,"Over-the-counter medicines, in million current NCU"
hc513,"Other medical non-durable goods, in million current NCU"
hc52,"Therapeutic appliances and Other medical goods, in million current NCU"
hc5nec,"Unspecified medical goods (n.e.c.), in million current NCU"
hc6,"Preventive care, in million current NCU"
hc61,"Information, education and counseling (IEC) programmes, in million current NCU"
hc62,"Immunization Programmes, in million current NCU"
fp3214,"Vaccines, in million current NCU"
hc63,"Early disease detection programmes, in million current NCU"
hc64,"Healthy condition monitoring programmes, in million current NCU"
hc65,"Epidemiological surveillance and risk and disease control programmes, in million current NCU"
hc66,"Preparing for disaster and emergency response programmes, in million current NCU"
hc6nec,"Unspecified preventive care (n.e.c.), in million current NCU"
hc7,"Governance, and health system and financing administration, in million current NCU"
hc71,"Governance and Health system administration, in million current NCU"
hc72,"Administration of health financing, in million current NCU"
hc7nec,"Unspecified governance, and health system and financing administration (n.e.c.), in million current NCU"
hc9,"Other health care services not elsewhere classified (n.e.c.), in million current NCU"
hc_gghed,"Domestic general government health expenditure by Health Care Functions, in million current NCU"
hc1_gghed,"Domestic General Government Expenditure on Curative care, in million current NCU"
hc11_gghed,"Domestic General Government Expenditure on Inpatient curative care, in million current NCU"
hc12_gghed,"Domestic General Government Expenditure on Day curative care, in million current NCU"
hc13_gghed,"Domestic General Government Expenditure on Outpatient curative care, in million current NCU"
hc131_gghed,"Domestic General Government Expenditure on General outpatient curative care, in million current NCU"
hc132_gghed,"Domestic General Government Expenditure on Dental outpatient curative care, in million current NCU"
hc133_gghed,"Domestic General Government Expenditure on Specialised outpatient curative care, in million current NCU"
hc139_gghed,"Domestic General Government Expenditure on other outpatient curative care (specialized paramedical outpatient curative care), in million current NCU"
hc13nec_gghed,"Domestic General Government Expenditure on Outpatient curative care n.e.c., in million current NCU"
hc14_gghed,"Domestic General Government on Home-based curative care, in million current NCU"
hc1nec_gghed,"Domestic General Government Expenditure on Other curative care, in million current NCU"
hc2_gghed,"Domestic General Government Expenditure on Rehabilitative care, in million current NCU"
hc21_gghed,"Domestic General Government Expenditure on Inpatient rehabilitative care, in million current NCU"
hc22_gghed,"Domestic General Government Expenditure on Day rehabilitative care, in million current NCU"
hc23_gghed,"Domestic General Government Expenditure on Outpatient rehabilitative care, in million current NCU"
hc24_gghed,"Domestic General Government Expenditure on Home-based rehabilitative care, in million current NCU"
hc3_gghed,"Domestic General Government Expenditure on Long-term care (health), in million current NCU"
hc31_gghed,"Domestic General Government Expenditure on Inpatient long-term care (health), in million current NCU"
hc32_gghed,"Domestic General Government Expenditure on Day long-term care (health), in million current NCU"
hc33_gghed,"Domestic General Government Expenditure on Outpatient long-term care (health), in million current NCU"
hc34_gghed,"Domestic General Government Expenditure on Home-based long-term care (health), in million current NCU"
hc3nec_gghed,"Domestic General Government Expenditure on Other Long-Term Care, in million current NCU"
hc4_gghed,"Domestic General Government Expenditure on Ancillary services (non-specified by function), in million current NCU"
hc41_gghed,"Domestic General Government Expenditure on Laboratory services, in million current NCU"
hc42_gghed,"Domestic General Government Expenditure on Imaging services, in million current NCU"
hc43_gghed,"Domestic General Government Expenditure on Patient transportation, in million current NCU"
hc5_gghed,"Domestic General Government Expenditure on Medical goods (non-specified by function), in million current NCU"
hc51_gghed,"Domestic General Government Expenditure on Pharmaceuticals and Other medical durable goods, in million current NCU"
hc511_gghed,"Domestic General Government Expenditure on Prescribed medicines, in million current NCU"
hc512_gghed,"Domestic General Government Expenditure on Over-the-counter medicines, in million current NCU"
hc513_gghed,"Domestic General Government Expenditure on Other medical non-durable goods, in million current NCU"
hc52_gghed,"Domestic General Government Expenditure on Therapeutic appliances and Other medical goods, in million current NCU"
hc5nec_gghed,"Domestic General Government Expenditure on Unspecified medical goods (n.e.c.), in million current NCU"
hc6_gghed,"Domestic General Government Expenditure on Preventive care, in million current NCU"
hc61_gghed,"Domestic General Government Expenditure on Information, education and counseling (IEC) programmes, in million current NCU"
hc62_gghed,"Domestic General Government Expenditure on Immunization Programmes, in million current NCU"
fp3214_gghed,"Domestic General Government Expenditure on Vaccines, in million current NCU"
hc63_gghed,"Domestic General Government Expenditure on Early disease detection programmes, in million current NCU"
hc64_gghed,"Domestic General Government Expenditure on Healthy condition monitoring programmes, in million current NCU"
hc65_gghed,"Domestic General Government Expenditure on Epidemiological surveillance and risk and disease control programmes, in million current NCU"
hc66_gghed,"Domestic General Government Expenditure on Preparing for disaster and emergency response programmes, in million current NCU"
hc6nec_gghed,"Domestic General Government Expenditure on Unspecified preventive care (n.e.c.), in million current NCU"
hc7_gghed,"Domestic General Government Expenditure on Governance, health system & financing administration, in million current NCU"
hc71_gghed,"Domestic General Government Expenditure on Governance and Health system administration, in million current NCU"
hc72_gghed,"Domestic General Government Expenditure on Administration of health financing, in million current NCU"
hc7nec_gghed,"Domestic General Government Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million current NCU"
hc9_gghed,"Domestic General Government Expenditure on Other health care services (n.e.c.), in million current NCU"
hc_ext,"External health expenditure by Health Care Functions, in million current NCU"
hc1_ext,"External Expenditure on Curative care, in million current NCU"
hc11_ext,"External Expenditure on Inpatient curative care, in million current NCU"
hc12_ext,"External Expenditure on Day curative care, in million current NCU"
hc13_ext,"External Expenditure on Outpatient curative care, in million current NCU"
hc131_ext,"External Expenditure on General outpatient curative care, in million current NCU"
hc132_ext,"External Expenditure on Dental outpatient curative care, in million current NCU"
hc133_ext,"External Expenditure on Specialised outpatient curative care, in million current NCU"
hc139_ext,"External Expenditure on all other outpatient curative care, in million current NCU"
hc13nec_ext,"External Expenditure on Outpatient curative care n.e.c., in million current NCU"
hc14_ext,"External Expenditure on Home-based curative care, in million current NCU"
hc1nec_ext,"External Expenditure on Other curative care, in million current NCU"
hc2_ext,"External Expenditure on Rehabilitative care, in million current NCU"
hc21_ext,"External Expenditure on Inpatient rehabilitative care, in million current NCU"
hc22_ext,"External Expenditure on Day rehabilitative care, in million current NCU"
hc23_ext,"External Expenditure on Outpatient rehabilitative care, in million current NCU"
hc24_ext,"External Expenditure on Home-based rehabilitative care, in million current NCU"
hc3_ext,"External Expenditure on Long-term care (health), in million current NCU"
hc31_ext,"External Expenditure on Inpatient long-term care (health), in million current NCU"
hc32_ext,"External Expenditure on Day long-term care (health), in million current NCU"
hc33_ext,"External Expenditure on Outpatient long-term care (health), in million current NCU"
hc34_ext,"External Expenditure on Home-based long-term care (health), in million current NCU"
hc3nec_ext,"External Expenditure on Other Long-Term Care, in million current NCU"
hc4_ext,"External Expenditure on Ancillary services (non-specified by function), in million current NCU"
hc41_ext,"External Expenditure on Laboratory services, in million current NCU"
hc42_ext,"External Expenditure on Imaging services, in million current NCU"
hc43_ext,"External Expenditure on Patient transportation, in million current NCU"
hc5_ext,"External Expenditure on Medical goods (non-specified by function), in million current NCU"
hc51_ext,"External Expenditure on Pharmaceuticals and Other medical durable goods, in million current NCU"
hc511_ext,"External Expenditure on Prescribed medicines, in million current NCU"
hc512_ext,"External Expenditure on Over-the-counter medicines, in million current NCU"
hc513_ext,"External Expenditure on Other medical non-durable goods, in million current NCU"
hc52_ext,"External Expenditure on Therapeutic appliances and Other medical goods, in million current NCU"
hc5nec_ext,"External Expenditure on Unspecified medical goods (n.e.c.), in million current NCU"
hc6_ext,"External Expenditure on Preventive care, in million current NCU"
hc61_ext,"External Expenditure on Information, education and counseling (IEC) programmes, in million current NCU"
hc62_ext,"External sources of funding on Immunization Programmes , in million current NCU"
fp3214_ext,"External sources of funding on Vaccines, in million current NCU"
hc63_ext,"External Expenditure on Early disease detection programmes, in million current NCU"
hc64_ext,"External Expenditure on Healthy condition monitoring programmes, in million current NCU"
hc65_ext,"External Expenditure on Epidemiological surveillance and risk and disease control programmes, in million current NCU"
hc66_ext,"External Expenditure on Preparing for disaster and emergency response programmes, in million current NCU"
hc6nec_ext,"External Expenditure on Unspecified preventive care (n.e.c.), in million current NCU"
hc7_ext,"External Expenditure on Governance, health system & financing administration, in million current NCU"
hc71_ext,"External Expenditure on Governance and Health system administration, in million current NCU"
hc72_ext,"External Expenditure on Administration of health financing, in million current NCU"
hc7nec_ext,"External Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million current NCU"
hc9_ext,"External Expenditure on Other health care services (n.e.c.), in million current NCU"
hc_pvtd,"Domestic Private Health Expenditure by Health Care Functions, in million current NCU"
hc1_pvtd,"Domestic Private Expenditure on Curative care, in million current NCU"
hc11_pvtd,"Domestic Private Expenditure on Inpatient curative care, in million current NCU"
hc12_pvtd,"Domestic Private Expenditure on Day curative care, in million current NCU"
hc13_pvtd,"Domestic Private Expenditure on Outpatient curative care, in million current NCU"
hc131_pvtd,"Domestic Private Expenditure on General outpatient curative care, in million current NCU"
hc132_pvtd,"Domestic Private Expenditure on Dental outpatient curative care, in million current NCU"
hc133_pvtd,"Domestic Private Expenditure on Specialised outpatient curative care, in million current NCU"
hc139_pvtd,"Domestic Private Expenditure on all other outpatient curative care, in million current NCU"
hc13nec_pvtd,"Domestic Private Expenditure on Outpatient curative care n.e.c., in million current NCU"
hc14_pvtd,"Domestic Private Expenditure on Home-based curative care, in million current NCU"
hc1nec_pvtd,"Domestic Private Expenditure on Other curative care, in million current NCU"
hc2_pvtd,"Domestic Private Expenditure on Rehabilitative care, in million current NCU"
hc21_pvtd,"Domestic Private Expenditure on Inpatient rehabilitative care, in million current NCU"
hc22_pvtd,"Domestic Private Expenditure on Day rehabilitative care, in million current NCU"
hc23_pvtd,"Domestic Private Expenditure on Outpatient rehabilitative care, in million current NCU"
hc24_pvtd,"Domestic Private Expenditure on Home-based rehabilitative care, in million current NCU"
hc3_pvtd,"Domestic Private Expenditure on Long-term care (health), in million current NCU"
hc31_pvtd,"Domestic Private Expenditure on Inpatient long-term care (health), in million current NCU"
hc32_pvtd,"Domestic Private Expenditure on Day long-term care (health), in million current NCU"
hc33_pvtd,"Domestic Private Expenditure on Outpatient long-term care (health), in million current NCU"
hc34_pvtd,"Domestic Private Expenditure on Home-based long-term care (health), in million current NCU"
hc3nec_pvtd,"Domestic Private Expenditure on Other Long-Term Care, in million current NCU"
hc4_pvtd,"Domestic Private Expenditure on Ancillary services (non-specified by function), in million current NCU"
hc41_pvtd,"Domestic Private Expenditure on Laboratory services, in million current NCU"
hc42_pvtd,"Domestic Private Expenditure on Imaging services, in million current NCU"
hc43_pvtd,"Domestic Private Expenditure on Patient transportation, in million current NCU"
hc5_pvtd,"Domestic Private Expenditure on Medical goods (non-specified by function), in million current NCU"
hc51_pvtd,"Domestic Private Expenditure on Pharmaceuticals and Other medical durable goods, in million current NCU"
hc511_pvtd,"Domestic Private Expenditure on Prescribed medicines, in million current NCU"
hc512_pvtd,"Domestic Private Expenditure on Over-the-counter medicines, in million current NCU"
hc513_pvtd,"Domestic Private Expenditure on Other medical non-durable goods, in million current NCU"
hc52_pvtd,"Domestic Private Expenditure on Therapeutic appliances and Other medical goods, in million current NCU"
hc5nec_pvtd,"Domestic Private Expenditure on Unspecified medical goods (n.e.c.), in million current NCU"
hc6_pvtd,"Domestic Private Expenditure on Preventive care, in million current NCU"
hc61_pvtd,"Domestic Private Expenditure on Information, education and counseling (IEC) programmes, in million current NCU"
hc62_pvtd,"Domestic Private Expenditure on Immunization Programmes, in million current NCU"
fp3214_pvtd,"Domestic Private Expenditure on Vaccines, in million current NCU"
hc63_pvtd,"Domestic Private Expenditure on Early disease detection programmes, in million current NCU"
hc64_pvtd,"Domestic Private Expenditure on Healthy condition monitoring programmes, in million current NCU"
hc65_pvtd,"Domestic Private Expenditure on Epidemiological surveillance and risk and disease control programmes, in million current NCU"
hc66_pvtd,"Domestic Private Expenditure on Preparing for disaster and emergency response programmes, in million current NCU"
hc6nec_pvtd,"Domestic Private Expenditure on Unspecified preventive care (n.e.c.), in million current NCU"
hc7_pvtd,"Domestic Private Expenditure on Governance, health system & financing administration, in million current NCU"
hc71_pvtd,"Domestic Private Expenditure on Governance and Health system administration, in million current NCU"
hc72_pvtd,"Domestic Private Expenditure on Administration of health financing, in million current NCU"
hc7nec_pvtd,"Domestic Private Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in million current NCU"
hc9_pvtd,"Domestic Private Expenditure on Other health care services (n.e.c.), in million current NCU"
hcri1,"Total pharmaceutical expenditure (TPE), in million current NCU"
dis,"Current health expenditure by Diseases and Conditions, in million current NCU"
dis1,"Infectious and Parasitic Diseases, in million current NCU"
dis11,"HIV/AIDS and Other Sexually Transmitted Diseases (STDs), in million current NCU"
dis12,"Tuberculosis (TB), in million current NCU"
dis13,"Malaria, in million current NCU"
dis16,"Neglected Tropical Diseases (NTDs), in million current NCU"
dis192,"Disease from coronavirus SARS-CoV-2 (COVID-19), in million current NCU"
dis2,"Reproductive Health, in million current NCU"
dis21,"Maternal Conditions, in million current NCU"
dis22,"Perinatal Conditions, in million current NCU"
dis23,"Contraceptive Management (Family Planning), in million current NCU"
dis2nec,"Unspecified reproductive health conditions (n.e.c.), in million current NCU"
dis3,"Nutritional Deficiencies, in million current NCU"
dis4,"Noncommunicable Diseases (NCDs), in million current NCU"
dis5,"Injuries, in million current NCU"
disnec,"Other and unspecified Diseases and Conditions (n.e.c.), in million current NCU"
dis_gghed,"Domestic general government health expenditure by Diseases and Conditions, in million current NCU"
dis1_gghed,"Domestic General Government Expenditure on Infectious and Parasitic Diseases, in million current NCU"
dis11_gghed,"Domestic General Government Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs), in million current NCU"
dis12_gghed,"Domestic General Government Expenditure on Tuberculosis (TB), in million current NCU"
dis13_gghed,"Domestic General Government Expenditure on Malaria, in million current NCU"
dis16_gghed,"Domestic General Government Expenditure on Neglected Tropical Diseases (NTDs), in million current NCU"
dis192_gghed,"Domestic General Government Expenditure on Disease from coronavirus SARS-CoV-2 (COVID-19), in million current NCU"
dis2_gghed,"Domestic General Government Expenditure on Reproductive Health, in million current NCU"
dis21_gghed,"Domestic General Government Expenditure on Maternal Conditions, in million current NCU"
dis22_gghed,"Domestic General Government Expenditure on Perinatal Conditions, in million current NCU"
dis23_gghed,"Domestic General Government Expenditure on Contraceptive Management (Family Planning), in million current NCU"
dis2nec_gghed,"Domestic General Government Expenditure on Unspecified reproductive health conditions (n.e.c.), in million current NCU"
dis3_gghed,"Domestic General Government Expenditure on Nutritional Deficiencies, in million current NCU"
dis4_gghed,"Domestic General Government Expenditure on Noncommunicable Diseases (NCDs), in million current NCU"
dis5_gghed,"Domestic General Government Expenditure on Injuries, in million current NCU"
disnec_gghed,"Domestic General Government Expenditure on other and unspecified Diseases and Conditions (n.e.c.), in million current NCU"
dis_ext,"External sources of funding by Diseases and Conditions, in million current NCU"
dis1_ext,"External sources of funding on Infectious and Parasitic Diseases, in million current NCU"
dis11_ext,"External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs), in million current NCU"
dis12_ext,"External sources of funding on Tuberculosis (TB), in million current NCU"
dis13_ext,"External sources of funding on Malaria, in million current NCU"
dis16_ext,"External sources of funding on Neglected Tropical Diseases (NTDs), in million current NCU"
dis192_ext,"External sources of funding on Disease from coronavirus SARS-CoV-2 (COVID-19), in million current NCU"
dis2_ext,"External sources of funding on Reproductive Health, in million current NCU"
dis21_ext,"External sources of funding on Maternal Conditions, in million current NCU"
dis22_ext,"External sources of funding on Perinatal Conditions, in million current NCU"
dis23_ext,"External sources of funding on Contraceptive Management (Family Planning), in million current NCU"
dis2nec_ext,"External sources of funding on Unspecified reproductive health conditions (n.e.c.), in million current NCU"
dis3_ext,"External sources of funding on Nutritional Deficiencies, in million current NCU"
dis4_ext,"External sources of funding on Noncommunicable Diseases (NCDs), in million current NCU"
dis5_ext,"External sources of funding on Injuries, in million current NCU"
disnec_ext,"External sources of funding on other and unspecified Diseases and Conditions (n.e.c.), in million current NCU"
dis_pvtd,"Domestic Private Health expenditure by Diseases and Conditions, in million current NCU"
dis1_pvtd,"Domestic Private Expenditure on Infectious and Parasitic Diseases, in million current NCU"
dis11_pvtd,"Domestic Private Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs), in million current NCU"
